ClassId,AverageSize,DistinctSizesCount,PeakRecordsCount,TotalRecords,StdDev
2708,5274,7,1,7,10491.9
2969,354,4,165,566,2
2969,262,26,94,446,10.5
2969,344,90,80,1033,22.8
3223,283,488,90,1565,285.2
3223,2943,46,2,48,561.2
3223,4744,8,1,8,460.2
3262,31,9,68,201,1.8
3263,7453,4,2,5,10616.4
5158,378,32,207,4720,22.2
5158,427,3,110,319,1.7
5158,362,143,98,3656,54.7
5158,493,252,98,4757,73.7
5424,276,45,80,276,27.5
5424,393,29,3,37,46.5
5424,562,3,1,3,74.4
5505,1346,67,85,609,442.6
7033,167,33,13,183,8
8057,245,47,95,506,54.8
8057,311,113,13,319,35.5
8399,2094,8,2,9,78.8
8526,564,127,37,905,34.5
8526,813,92,11,227,32.9
9020,451,5,1,5,613.3
10125,409,54,34,225,442.1
10128,289,41,232,5921,208
10128,1053,2,118,224,0.5
10128,911,1917,99,45726,619.1
32874,264,53,67,1326,12.5
32874,304,46,48,354,11.4
33082,52,7,37,120,1.8
33666,672,5,1,5,680.4
34849,366,4,2,5,124.9
34849,1055,31,1,31,118.2
35440,44,4,32,35,79.5
37881,98,54,1936,26288,12
37881,149,126,93,2732,36.7
37881,302,45,3,50,42.3
37881,552,17,2,18,47.7
38038,295,18,6724,38144,172.2
38038,523,9,6012,15305,35.6
38038,1194,11,377,1921,27.1
38038,1180,356,95,3659,356.3
38911,76,15,1839,5580,5.1
38911,85,14,95,413,14.2
39100,407,19,8,41,71
41118,235,9,6,16,11.8
44159,75,6,3,9,6.1
45334,465,49,57,347,52
45334,1342,10,13,31,144
45956,336,12,15,28,559.3
46368,97,30,460,6421,24.5
46368,78,24,88,920,9.1
46368,120,41,90,1654,16.7
46399,1496,1061,10,1631,520.2
46399,3524,78,2,80,521.6
46399,5893,4,1,4,955
46669,1245,21,3,28,138.7
46669,2082,5,1,5,230.3
48000,37,5,4,13,3.5
51003,200,31,519,7508,13
51003,295,30,158,3591,18.9
51003,247,1462,99,18231,335.4
51003,2597,105,3,119,531.6
51003,4635,24,2,25,566
51003,6830,2,1,2,241.8
51003,8079,3,1,3,497.6
51003,11498,2,1,2,65.1
51003,16103,2,1,2,1045.1
52431,76,9,8,27,3.1
53376,25,6,10,22,5
53967,1679,30,293,5901,52.6
53967,1859,15,309,3158,5.3
53967,2152,3,139,369,0.8
53967,1848,8094,99,45644,2450.6
53967,19028,4300,7,5836,2996.1
54741,61,1212,61,1947,4367.4
54741,22895,198,1,198,4213.8
55029,117,47,27,270,24.5
55029,178,25,7,56,16.4
55492,291,20,255,2854,13.1
55492,281,55,98,2290,19
55492,356,115,88,3904,27.3
56526,75,13,2,15,21.9
57221,170,90,80707,461765,52.3
57221,417,78,2107,28039,69
57221,620,205,54587,2244177,35
57221,344,170,98,6821,90.7
57221,709,106,76,304,74.7
57221,1102,39,2,42,110.5
57221,1664,4,1,4,190.9
57785,236,29,986,8632,12.5
57785,317,57,3575,55292,23.3
57785,221,64,96,1755,24
57785,316,33,89,979,26.6
58006,117,7,274,1230,9.2
58006,113,61,98,1512,16.2
58179,117,7,52,100,2.3
58711,89,11,150,1212,10.2
58711,90,46,99,2604,14.1
59786,268,21,20,174,10
60434,112,34,26329,52147,11.8
60434,210,236,97,5421,59.5
60434,441,115,7,211,61.2
60434,709,7,2,9,54.4
60434,1067,5,1,5,90.6
61065,56,5,36,78,4.9
61065,188,6,4,11,25.8
64741,7543,12,3,20,68.1
