ClassId,AverageSize,DistinctSizesCount,PeakRecordsCount,TotalRecords,StdDev
3472,168,6,3,10,10.6
4020,201,284,963218,6337955,55.9
4020,619,206,7277,222169,96.1
4020,973,149,1827,68485,99.5
4020,1332,112,827,32599,100.3
4020,1676,72,472,16568,93.4
4020,2017,46,309,8135,95.2
4020,2368,30,196,4375,97.2
4020,2695,25,144,2929,94
4020,3052,9,119,977,112.3
4020,8669,23554,99,122297,10875.299999999999
4020,62750,1416,5,1754,5790.9
4020,126311,14,1,14,14670
4020,190747,9,1,9,9656.4
4020,241902,8,1,8,13300.299999999999
4020,303867,7,1,7,19887.900000000001
4020,471393,4,1,4,25382.200000000001
4023,129,2,513,808,28.9
4023,190,2,248,352,13.7
4023,301,874,59,1597,2549.1
4023,14400,18,1,18,2191
4998,258,33,66,612,7.2
5104,10043,4,1,4,12126
5305,211,32,3311,19339,37.8
5305,282,51,23215,262933,8.6
5305,401,57,1947,38941,16.3
5305,317,153,99,3522,99
5305,774,4,1,4,61.5
5875,1239,29,7,53,685.1
6328,8602,34,6,46,9352
6350,3,146,64,213,829.7
6350,4501,9,1,9,1011.8
6359,48,4,10639,18418,1.5
7171,5722,14,2,15,8338.799999999999
8361,497,163,82,1778,110.6
8361,1132,67,4,87,137
8361,2502,2,1,2,45.3
9146,1320,15,2,16,3104.9
9362,73,2,360,604,14.7
9362,441,4,289,803,12.4
9362,121,837,84,1883,3596.8
9362,24242,250,2,251,4835.6
9710,146,7,60907,94520,1.5
9710,140,6,55,75,2.6
30033,161,23,89,291,140.5
30308,202,10,469,3545,5.3
30308,198,46,97,637,12.3
33342,4647,7,1,7,51.5
33342,4754,19,2,22,35.8
36177,139,36,85,465,11.1
36544,244,23,44,250,17.9
36544,882,3,1,3,140.6
37450,1449,8,1,8,1870.7
39744,480,1659,74,3241,2174.1
39744,10215,37,2,38,2146
39744,20045,6,1,6,1746.1
39744,29269,3,1,3,3670.3
39836,204,13,1,13,116.4
41685,140,8,5,12,15.1
44158,51,8,478,2161,5.4
44158,53,21,90,416,7.6
44192,186,23,4,40,14.4
44242,366,11,486,3179,2.5
44242,496,1528,95,7912,648
44242,7394,91,2,95,1585.1
44242,12392,41,1,41,1514.8
44242,16812,2,1,2,1021.1
46163,195,13,7,25,16.6
48374,9116,2356,4,2662,3587
48374,20105,670,2,705,3246.4
50484,1496,7,3,9,33.5
52561,121,7,5,15,3.5
52977,61,627,43,689,4927.8
52977,21906,259,2,260,4038.3
53183,47,18,94,454,7.7
53701,116,9,16,53,2.2
53725,160,4,130,447,32.1
53725,150,75,99,2249,24.8
54271,208,26,1101,6889,26
54271,497,933,99,9070,268.4
54271,1213,342,25,935,163
54271,2669,10,1,10,233.1
55480,370,54,16039,227827,10
55480,422,56,1107,31622,14.1
55480,302,128,98,2828,116.5
56329,3389,24,1,24,4997.1
57374,625,319,18,737,486.8
57374,3519,36,1,36,528
58471,109,24,58,294,6.9
58576,86,6,2001,3592,10.9
58576,350,5514,95,9862,8482.4
60525,182,25,15,76,13.5
61436,148,16,632,5842,4.9
61436,157,32,95,400,10.3
62079,155,12,91,445,3.1
62929,275,19,1812,13602,8.6
62929,274,17,82,329,10.3
63960,10749,12,2,13,57.4
